system:index,count,theft_risk,.geo
+421825+149788,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78645877627184,26.91145978706739]}"
+421825+149829,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78645877627184,26.918736140868756]}"
+421826+149795,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78663843932867,26.912717428465157]}"
+421826+149818,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78648872011465,26.916699959558084]}"
+421827+149619,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7868181023855,26.881006898935738]}"
+421827+149683,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78667437194004,26.892487368266785]}"
+421827+149812,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78669832701426,26.91553214968873]}"
+421828+149684,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78699776544231,26.892774829157702]}"
+421828+149788,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78705765312792,26.911340011696176]}"
+421828+149889,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78687799007109,26.929545868120993]}"
+421829+149615,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78717742849913,26.880288246708442]}"
+421829+149625,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78717742849913,26.88208487727668]}"
+421829+149685,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78717742849913,26.89295449221453]}"
+421829+149726,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78717742849913,26.900320677544308]}"
+421829+149842,11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78712842948364,26.920867598042896]}"
+421829+149869,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78708759697072,26.926012494670125]}"
+421830+149706,19,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78697885354158,26.896311354592026]}"
+421830+149727,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78735709155596,26.90050034060113]}"
+421831+149613,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78744692308437,26.880018752123206]}"
